countPeriod,countComma,countQuestion, countExclamation,countLetters,longestWordLength,countWspace,class
6466,1503,103,57,458585,907,19033,0
1222,766,113,190,111647,8041,5507,0
9286,1192,169,96,412423,764,35842,0
5150,1189,107,51,397619,2181,18505,0
9055,1163,123,93,401386,656,36733,0
6950,1669,115,55,490522,907,20049,0
9179,1129,103,95,389933,656,34535,0
1576,403,182,117,130755,652,11594,0
3670,746,93,45,265386,907,14003,0
1472,470,176,117,119935,631,10713,0
1796,552,92,226,209654,555,10927,0
1740,472,92,226,210170,555,9337,0
1774,488,91,226,204981,555,9652,0
3857,769,105,51,273882,907,14178,0
2529,555,150,61,219078,699,14678,0
1810,530,95,202,215687,555,10680,0
1501,367,179,122,130359,674,11292,0
1778,964,91,202,208964,555,10103,0
4721,1107,111,51,335259,907,15877,0
1736,471,91,226,204167,555,9429,0
3881,882,106,44,274371,907,13528,0
4846,1033,95,50,349120,907,16092,0
4176,966,93,51,307068,907,15522,0
1728,474,90,226,204185,555,9360,0
1793,587,92,226,210793,555,10562,0
9237,1166,125,93,405401,649,38865,0
8464,2208,104,57,583403,907,26445,0
7191,1514,106,51,486567,907,22909,0
6424,1412,99,55,445750,907,24247,0
2276,510,162,60,199402,678,14581,0
5636,1394,129,61,396986,907,18800,0
7517,1932,103,50,516855,907,24498,0
9049,1290,117,93,399734,649,35553,0
5223,1137,78,28,352765,6929,12078,0
3946,936,102,49,286490,907,15330,0
1542,368,204,118,122168,652,10817,0
8972,1160,108,93,398495,649,36399,0
2831,553,160,66,241115,678,15721,0
3716,767,91,43,263971,907,13493,0
3634,787,71,28,254903,3235,7966,0
1521,369,180,118,124103,652,11013,0
1718,437,91,226,209206,555,9112,0
1738,495,91,226,207445,555,9480,0
7669,1912,110,59,536930,907,21721,0
1590,359,176,128,116107,652,10465,0
8998,1265,117,93,405009,649,39134,0
2388,1163,111,198,141657,8041,6668,0
3428,675,89,45,245521,907,11747,0
1572,352,182,117,122425,631,10515,0
2263,571,150,69,202326,678,14825,0
5487,1415,124,56,421508,2173,20659,0
879,482,41,84,77348,247,4353,0
1496,347,179,117,121379,631,10468,0
1524,379,182,118,123468,674,11054,0
1793,604,91,226,217436,555,10538,0
1752,442,202,119,139853,631,12084,0
1550,382,179,118,130098,631,11200,0
1777,519,93,229,210437,555,10122,0
1774,486,91,226,213470,555,10138,0
1833,546,90,226,218209,555,10869,0
1739,513,90,226,201111,555,9481,0
